id,Count of Crime ID
E01003638,14
E01003639,11
E01003640,14
E01003641,20
E01003642,6
E01003643,9
E01003644,4
E01003645,28
E01003646,18
E01003647,5
E01003648,5
E01003649,2
E01003650,8
E01003651,6
E01003652,3
E01003653,19
E01003654,4
E01003655,10
E01003656,6
E01003657,22
E01003658,7
E01003659,10
E01003660,4
E01003661,10
E01003662,7
E01003663,11
E01003664,13
E01003665,6
E01003666,10
E01003668,16
E01003669,10
E01003670,3
E01003671,1
E01003672,3
E01003673,13
E01003674,24
E01003675,9
E01003676,7
E01003677,20
E01003678,7
E01003679,8
E01003680,10
E01003681,9
E01003682,9
E01003683,6
E01003684,4
E01003685,18
E01003686,16
E01003688,5
E01003689,130
E01003690,37
E01003691,5
E01003692,10
E01003693,6
E01003694,7
E01003695,8
E01003696,5
E01003697,20
E01003698,6
E01003699,10
E01003700,13
E01003701,29
E01003702,17
E01003703,4
E01003704,13
E01003705,15
E01003706,4
E01003707,6
E01003708,11
E01003709,17
E01003710,15
E01003711,16
E01003712,3
E01003713,9
E01003714,20
E01003715,8
E01003716,14
E01003718,4
E01003719,12
E01003720,20
E01003721,10
E01003722,17
E01003723,9
E01003724,1
E01003725,9
E01003726,10
E01003727,2
E01003728,38
E01003729,25
E01003731,10
E01003732,6
E01003733,6
E01003734,10
E01003735,15
E01003736,9
E01003737,3
E01003738,12
E01003739,8
E01003740,11
E01003741,9
E01003742,6
E01003743,1
E01003744,7
E01003745,3
E01003746,6
E01003747,2
E01003748,9
E01003749,2
E01003750,8
E01003751,4
E01003752,6
E01003753,10
E01003754,2
E01003755,25
E01003756,11
E01003757,9
E01003758,13
E01003759,2
E01003760,4
E01003761,14
E01003762,9
E01003763,8
E01003764,9
E01003765,8
E01003766,1
E01003767,12
E01003768,7
E01003769,34
E01003770,73
E01003771,13
E01003772,5
E01003773,7
E01003774,12
E01003775,9
E01003776,11
E01003777,11
E01003778,27
E01003779,6
E01003781,15
E01003782,7
E01003783,83
E01003784,4
E01003785,1
E01003786,5
E01003787,3
E01003788,20
E01003789,6
E01003790,7
E01003791,6
E01003792,6
E01003793,11
E01003794,5
E01003795,6
E01003796,7
E01032581,13
E01033589,39
E01033590,2
E01033591,19
E01033592,11
